Dalvik/1.8.0(Linux; U; Android 8.0;Xperia 5 II Build/FC5AP4GD)[FBAN/FB4A;FBAV/93.0.0.59.91FBBV/4840766FBDM={density=3.0,width=781,height=861}FBLC/ja_JPFBRV/1973734FBCR/Boost MobileFBMF/SonyFBBD/SonyFBPN/com.facebook.katanaFBDV/Xperia 5 IIFBSV/8.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.6.0(Linux; U; Android 7.0;Xperia 5 II Build/QFRUTQVA)[FBAN/FB4A;FBAV/95.0.0.59.41FBBV/2843245FBDM={density=3.0,width=620,height=648}FBLC/en_USFBRV/5003334FBCR/O2FBMF/SonyFBBD/SonyFBPN/com.facebook.katanaFBDV/Xperia 5 IIFBSV/7.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.8.0(Linux; U; Android 7.0;Moto G Fast Build/WBZMZN9G)[FBAN/FB4A;FBAV/105.0.0.16.91FBBV/6321FBDM={density=3.0,width=539,height=1630}FBLC/ja_JPFBRV/7676295FBCR/OrangeFBMF/MotorolaFBBD/MotorolaFBPN/com.facebook.katanaFBDV/Moto G FastFBSV/7.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.6.0(Linux; U; Android 12.0;CPH2127 Build/U40II69O)[FBAN/FB4A;FBAV/115.0.0.97.6FBBV/6576757FBDM={density=3.0,width=652,height=1736}FBLC/zh_CNFBRV/9682814FBCR/VodafoneFBMF/OPPOFBBD/OPPOFBPN/com.facebook.katanaFBDV/CPH2127FBSV/12.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.6.0(Linux; U; Android 9.0;ASUS_Z010 Build/D720OS35)[FBAN/FB4A;FBAV/100.0.0.71.57FBBV/9617278FBDM={density=3.0,width=764,height=1238}FBLC/zh_TWFBRV/607959FBCR/VerizonFBMF/ASUSFBBD/ASUSFBPN/com.facebook.katanaFBDV/ASUS_Z010FBSV/9.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/2.1.0(Linux; U; Android 8.0;ASUS_Z007 Build/T6ILXSL8)[FBAN/FB4A;FBAV/119.0.0.82.16FBBV/2851155FBDM={density=3.0,width=902,height=1695}FBLC/fr_FRFBRV/8842408FBCR/Boost MobileFBMF/ASUSFBBD/ASUSFBPN/com.facebook.katanaFBDV/ASUS_Z007FBSV/8.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.8.0(Linux; U; Android 12.0;Pixel 6 Build/DBUC142T)[FBAN/FB4A;FBAV/108.0.0.78.75FBBV/321997FBDM={density=3.0,width=531,height=1722}FBLC/de_DEFBRV/9368843FBCR/AT&TFBMF/GoogleFBBD/GoogleFBPN/com.facebook.katanaFBDV/Pixel 6FBSV/12.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.8.0(Linux; U; Android 8.0;ASUS_Z017 Build/4RF9W7OP)[FBAN/FB4A;FBAV/106.0.0.57.52FBBV/1669373FBDM={density=3.0,width=801,height=878}FBLC/zh_CNFBRV/6755802FBCR/VodafoneFBMF/ASUSFBBD/ASUSFBPN/com.facebook.katanaFBDV/ASUS_Z017FBSV/8.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.8.0(Linux; U; Android 6.0;Moto G Power Build/056CEOY5)[FBAN/FB4A;FBAV/101.0.0.37.68FBBV/2035653FBDM={density=3.0,width=799,height=1583}FBLC/it_ITFBRV/418224FBCR/VerizonFBMF/MotorolaFBBD/MotorolaFBPN/com.facebook.katanaFBDV/Moto G PowerFBSV/6.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/2.1.0(Linux; U; Android 12.0;Pixel 4a Build/8US7WR95)[FBAN/FB4A;FBAV/92.0.0.49.69FBBV/631253FBDM={density=3.0,width=589,height=726}FBLC/zh_CNFBRV/7070072FBCR/OrangeFBMF/GoogleFBBD/GoogleFBPN/com.facebook.katanaFBDV/Pixel 4aFBSV/12.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.8.0(Linux; U; Android 7.0;Xperia 10 Build/DNFFKXR4)[FBAN/FB4A;FBAV/117.0.0.77.91FBBV/7394937FBDM={density=3.0,width=393,height=1357}FBLC/zh_CNFBRV/9588564FBCR/VodafoneFBMF/SonyFBBD/SonyFBPN/com.facebook.katanaFBDV/Xperia 10FBSV/7.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.6.0(Linux; U; Android 6.0;LM-X410 Build/UISAWPCZ)[FBAN/FB4A;FBAV/80.0.0.95.73FBBV/3954861FBDM={density=3.0,width=695,height=1320}FBLC/de_DEFBRV/6892908FBCR/Boost MobileFBMF/LGFBBD/LGFBPN/com.facebook.katanaFBDV/LM-X410FBSV/6.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.8.0(Linux; U; Android 4.2.2;CPH2147 Build/PB8V96E3)[FBAN/FB4A;FBAV/103.0.0.23.50FBBV/4701801FBDM={density=3.0,width=933,height=1733}FBLC/de_DEFBRV/1495672FBCR/TelecomFBMF/OPPOFBBD/OPPOFBPN/com.facebook.katanaFBDV/CPH2147FBSV/4.2.2FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/2.1.0(Linux; U; Android 7.0;Xperia 10 Build/3RPQRNGW)[FBAN/FB4A;FBAV/85.0.0.79.82FBBV/697633FBDM={density=3.0,width=948,height=1365}FBLC/pt_BRFBRV/8775795FBCR/O2FBMF/SonyFBBD/SonyFBPN/com.facebook.katanaFBDV/Xperia 10FBSV/7.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/2.1.0(Linux; U; Android 8.0;ASUS_Z010 Build/27X487IV)[FBAN/FB4A;FBAV/117.0.0.57.37FBBV/9905931FBDM={density=3.0,width=842,height=699}FBLC/ja_JPFBRV/7336839FBCR/SprintFBMF/ASUSFBBD/ASUSFBPN/com.facebook.katanaFBDV/ASUS_Z010FBSV/8.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.6.0(Linux; U; Android 10.0;V2072 Build/VDDYEXXX)[FBAN/FB4A;FBAV/115.0.0.96.38FBBV/2353742FBDM={density=3.0,width=371,height=1149}FBLC/ja_JPFBRV/6372332FBCR/AT&TFBMF/VivoFBBD/VivoFBPN/com.facebook.katanaFBDV/V2072FBSV/10.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.6.0(Linux; U; Android 9.0;CPH2171 Build/SZ3LM9SO)[FBAN/FB4A;FBAV/113.0.0.31.33FBBV/2166045FBDM={density=3.0,width=439,height=1699}FBLC/zh_TWFBRV/9005522FBCR/VerizonFBMF/OPPOFBBD/OPPOFBPN/com.facebook.katanaFBDV/CPH2171FBSV/9.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.6.0(Linux; U; Android 6.0;Moto G Fast Build/829G14WD)[FBAN/FB4A;FBAV/114.0.0.76.44FBBV/7633628FBDM={density=3.0,width=795,height=745}FBLC/ja_JPFBRV/8641930FBCR/TelecomFBMF/MotorolaFBBD/MotorolaFBPN/com.facebook.katanaFBDV/Moto G FastFBSV/6.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.6.0(Linux; U; Android 8.0;CPH2171 Build/TLY90BTK)[FBAN/FB4A;FBAV/117.0.0.78.71FBBV/8513091FBDM={density=3.0,width=832,height=1669}FBLC/fr_FRFBRV/6468446FBCR/AT&TFBMF/OPPOFBBD/OPPOFBPN/com.facebook.katanaFBDV/CPH2171FBSV/8.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/2.1.0(Linux; U; Android 9.0;LM-Q710 Build/ODMIY0BR)[FBAN/FB4A;FBAV/88.0.0.69.78FBBV/7198263FBDM={density=3.0,width=596,height=1118}FBLC/zh_TWFBRV/3577899FBCR/VerizonFBMF/LGFBBD/LGFBPN/com.facebook.katanaFBDV/LM-Q710FBSV/9.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.8.0(Linux; U; Android 7.0;SM-G973F Build/I9IDLDGB)[FBAN/FB4A;FBAV/85.0.0.8.32FBBV/2576773FBDM={density=3.0,width=474,height=1221}FBLC/de_DEFBRV/8976134FBCR/T-MobileFBMF/SamsungFBBD/SamsungFBPN/com.facebook.katanaFBDV/SM-G973FFBSV/7.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.6.0(Linux; U; Android 11.0;Moto G Play Build/83L6DKPW)[FBAN/FB4A;FBAV/103.0.0.36.2FBBV/9366607FBDM={density=3.0,width=384,height=1481}FBLC/ja_JPFBRV/1771524FBCR/VerizonFBMF/MotorolaFBBD/MotorolaFBPN/com.facebook.katanaFBDV/Moto G PlayFBSV/11.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.6.0(Linux; U; Android 10.0;V2007 Build/IXGNTSCV)[FBAN/FB4A;FBAV/81.0.0.65.72FBBV/9461942FBDM={density=3.0,width=429,height=1539}FBLC/fr_FRFBRV/1572896FBCR/T-MobileFBMF/VivoFBBD/VivoFBPN/com.facebook.katanaFBDV/V2007FBSV/10.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/2.1.0(Linux; U; Android 5.0;Mate 20 Pro Build/85KTMRYQ)[FBAN/FB4A;FBAV/100.0.0.28.72FBBV/4223076FBDM={density=3.0,width=706,height=1541}FBLC/es_ESFBRV/5981449FBCR/O2FBMF/HuaweiFBBD/HuaweiFBPN/com.facebook.katanaFBDV/Mate 20 ProFBSV/5.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.6.0(Linux; U; Android 4.2.2;V2010 Build/BBHKTRNY)[FBAN/FB4A;FBAV/119.0.0.62.40FBBV/939403FBDM={density=3.0,width=523,height=1122}FBLC/ko_KRFBRV/2284023FBCR/T-MobileFBMF/VivoFBBD/VivoFBPN/com.facebook.katanaFBDV/V2010FBSV/4.2.2FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.8.0(Linux; U; Android 6.0;P40 Pro Build/AV2ZY9VM)[FBAN/FB4A;FBAV/91.0.0.49.57FBBV/3802044FBDM={density=3.0,width=721,height=1306}FBLC/fr_FRFBRV/8198218FBCR/O2FBMF/HuaweiFBBD/HuaweiFBPN/com.facebook.katanaFBDV/P40 ProFBSV/6.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.8.0(Linux; U; Android 8.0;Pixel 4a Build/S2BQBALH)[FBAN/FB4A;FBAV/104.0.0.100.42FBBV/7640610FBDM={density=3.0,width=1048,height=651}FBLC/fr_FRFBRV/22686FBCR/Boost MobileFBMF/GoogleFBBD/GoogleFBPN/com.facebook.katanaFBDV/Pixel 4aFBSV/8.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/2.1.0(Linux; U; Android 9.0;Moto G Stylus Build/CP5QPM2O)[FBAN/FB4A;FBAV/90.0.0.56.2FBBV/7351504FBDM={density=3.0,width=903,height=779}FBLC/es_ESFBRV/9557885FBCR/OrangeFBMF/MotorolaFBBD/MotorolaFBPN/com.facebook.katanaFBDV/Moto G StylusFBSV/9.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.6.0(Linux; U; Android 6.0;LM-K500 Build/CAT1W2WH)[FBAN/FB4A;FBAV/119.0.0.1.28FBBV/4089111FBDM={density=3.0,width=422,height=1562}FBLC/de_DEFBRV/6453410FBCR/VerizonFBMF/LGFBBD/LGFBPN/com.facebook.katanaFBDV/LM-K500FBSV/6.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/2.1.0(Linux; U; Android 7.0;CPH2171 Build/E879QD05)[FBAN/FB4A;FBAV/120.0.0.24.78FBBV/3365541FBDM={density=3.0,width=857,height=810}FBLC/en_USFBRV/1075832FBCR/Boost MobileFBMF/OPPOFBBD/OPPOFBPN/com.facebook.katanaFBDV/CPH2171FBSV/7.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/2.1.0(Linux; U; Android 5.0;ASUS_Z012 Build/JJ9PFVDA)[FBAN/FB4A;FBAV/112.0.0.77.15FBBV/9465757FBDM={density=3.0,width=597,height=978}FBLC/pt_BRFBRV/3097891FBCR/OrangeFBMF/ASUSFBBD/ASUSFBPN/com.facebook.katanaFBDV/ASUS_Z012FBSV/5.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.6.0(Linux; U; Android 5.0;Xperia 10 IV Build/J2CEFODK)[FBAN/FB4A;FBAV/96.0.0.1.92FBBV/124079FBDM={density=3.0,width=430,height=1083}FBLC/en_USFBRV/3112541FBCR/VerizonFBMF/SonyFBBD/SonyFBPN/com.facebook.katanaFBDV/Xperia 10 IVFBSV/5.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/2.1.0(Linux; U; Android 11.0;CPH2147 Build/HLGXU6QZ)[FBAN/FB4A;FBAV/87.0.0.81.51FBBV/8447354FBDM={density=3.0,width=976,height=673}FBLC/ko_KRFBRV/8909734FBCR/AT&TFBMF/OPPOFBBD/OPPOFBPN/com.facebook.katanaFBDV/CPH2147FBSV/11.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.6.0(Linux; U; Android 9.0;CPH2099 Build/0SOED6QQ)[FBAN/FB4A;FBAV/89.0.0.73.31FBBV/5003640FBDM={density=3.0,width=362,height=1692}FBLC/ko_KRFBRV/9894453FBCR/SprintFBMF/OPPOFBBD/OPPOFBPN/com.facebook.katanaFBDV/CPH2099FBSV/9.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.6.0(Linux; U; Android 9.0;LM-X410 Build/M34AELJH)[FBAN/FB4A;FBAV/118.0.0.72.84FBBV/7282865FBDM={density=3.0,width=557,height=869}FBLC/de_DEFBRV/2554124FBCR/O2FBMF/LGFBBD/LGFBPN/com.facebook.katanaFBDV/LM-X410FBSV/9.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.8.0(Linux; U; Android 4.2.2;ASUS_Z010 Build/JHDCYLSC)[FBAN/FB4A;FBAV/111.0.0.66.76FBBV/8739700FBDM={density=3.0,width=379,height=990}FBLC/pt_BRFBRV/3762178FBCR/O2FBMF/ASUSFBBD/ASUSFBPN/com.facebook.katanaFBDV/ASUS_Z010FBSV/4.2.2FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/2.1.0(Linux; U; Android 8.0;Moto G Play Build/Y1HIV3PN)[FBAN/FB4A;FBAV/113.0.0.68.37FBBV/4334555FBDM={density=3.0,width=1039,height=1420}FBLC/ko_KRFBRV/1754167FBCR/T-MobileFBMF/MotorolaFBBD/MotorolaFBPN/com.facebook.katanaFBDV/Moto G PlayFBSV/8.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.6.0(Linux; U; Android 4.2.2;LM-X410 Build/YNHF93FZ)[FBAN/FB4A;FBAV/85.0.0.7.80FBBV/278320FBDM={density=3.0,width=614,height=1517}FBLC/es_ESFBRV/4682311FBCR/TelecomFBMF/LGFBBD/LGFBPN/com.facebook.katanaFBDV/LM-X410FBSV/4.2.2FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.6.0(Linux; U; Android 10.0;Moto G Stylus Build/LUGIG8N3)[FBAN/FB4A;FBAV/87.0.0.1.2FBBV/8270548FBDM={density=3.0,width=750,height=741}FBLC/ja_JPFBRV/9901117FBCR/Boost MobileFBMF/MotorolaFBBD/MotorolaFBPN/com.facebook.katanaFBDV/Moto G StylusFBSV/10.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/2.1.0(Linux; U; Android 9.0;V2072 Build/YY2XT49R)[FBAN/FB4A;FBAV/104.0.0.19.61FBBV/9459417FBDM={density=3.0,width=417,height=1650}FBLC/ko_KRFBRV/742312FBCR/SprintFBMF/VivoFBBD/VivoFBPN/com.facebook.katanaFBDV/V2072FBSV/9.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.6.0(Linux; U; Android 5.0;P40 Pro Build/2P61148H)[FBAN/FB4A;FBAV/109.0.0.22.82FBBV/910456FBDM={density=3.0,width=407,height=1584}FBLC/de_DEFBRV/3155937FBCR/SprintFBMF/HuaweiFBBD/HuaweiFBPN/com.facebook.katanaFBDV/P40 ProFBSV/5.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.8.0(Linux; U; Android 11.0;Moto G Power Build/D1634AY1)[FBAN/FB4A;FBAV/111.0.0.97.7FBBV/4504255FBDM={density=3.0,width=560,height=1434}FBLC/zh_TWFBRV/4604467FBCR/VodafoneFBMF/MotorolaFBBD/MotorolaFBPN/com.facebook.katanaFBDV/Moto G PowerFBSV/11.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.6.0(Linux; U; Android 5.0;SM-G973F Build/YDR74SZD)[FBAN/FB4A;FBAV/94.0.0.17.40FBBV/3955384FBDM={density=3.0,width=367,height=1500}FBLC/it_ITFBRV/5072269FBCR/TelecomFBMF/SamsungFBBD/SamsungFBPN/com.facebook.katanaFBDV/SM-G973FFBSV/5.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.6.0(Linux; U; Android 4.2.2;SM-G973F Build/31WDMNPB)[FBAN/FB4A;FBAV/97.0.0.89.9FBBV/7578150FBDM={density=3.0,width=878,height=641}FBLC/es_ESFBRV/4697036FBCR/OrangeFBMF/SamsungFBBD/SamsungFBPN/com.facebook.katanaFBDV/SM-G973FFBSV/4.2.2FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.8.0(Linux; U; Android 9.0;SM-A127F Build/4V01L8YP)[FBAN/FB4A;FBAV/93.0.0.3.84FBBV/1611939FBDM={density=3.0,width=616,height=696}FBLC/de_DEFBRV/7908950FBCR/VodafoneFBMF/SamsungFBBD/SamsungFBPN/com.facebook.katanaFBDV/SM-A127FFBSV/9.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.8.0(Linux; U; Android 6.0;SM-A528B Build/20Q6NB6I)[FBAN/FB4A;FBAV/120.0.0.12.99FBBV/2262523FBDM={density=3.0,width=1035,height=1242}FBLC/es_ESFBRV/5666965FBCR/VerizonFBMF/SamsungFBBD/SamsungFBPN/com.facebook.katanaFBDV/SM-A528BFBSV/6.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/2.1.0(Linux; U; Android 8.0;Mi 9T Build/8G1HSAQI)[FBAN/FB4A;FBAV/97.0.0.46.86FBBV/64090FBDM={density=3.0,width=746,height=1179}FBLC/ja_JPFBRV/9566388FBCR/Boost MobileFBMF/XiaomiFBBD/XiaomiFBPN/com.facebook.katanaFBDV/Mi 9TFBSV/8.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.8.0(Linux; U; Android 12.0;Pixel 4a Build/HKEIE5AS)[FBAN/FB4A;FBAV/91.0.0.32.25FBBV/8518327FBDM={density=3.0,width=834,height=1206}FBLC/es_ESFBRV/8637860FBCR/T-MobileFBMF/GoogleFBBD/GoogleFBPN/com.facebook.katanaFBDV/Pixel 4aFBSV/12.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.8.0(Linux; U; Android 11.0;Moto G Stylus Build/P9PJVH0V)[FBAN/FB4A;FBAV/110.0.0.67.22FBBV/943281FBDM={density=3.0,width=614,height=1670}FBLC/ja_JPFBRV/9247090FBCR/Boost MobileFBMF/MotorolaFBBD/MotorolaFBPN/com.facebook.katanaFBDV/Moto G StylusFBSV/11.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.8.0(Linux; U; Android 7.0;Pixel 6 Build/NJJLO4B8)[FBAN/FB4A;FBAV/92.0.0.85.78FBBV/6926994FBDM={density=3.0,width=1080,height=1774}FBLC/es_ESFBRV/1941207FBCR/VerizonFBMF/GoogleFBBD/GoogleFBPN/com.facebook.katanaFBDV/Pixel 6FBSV/7.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.6.0(Linux; U; Android 8.0;SM-A127F Build/YZH7K0K1)[FBAN/FB4A;FBAV/83.0.0.36.67FBBV/1111980FBDM={density=3.0,width=704,height=1180}FBLC/pt_BRFBRV/686899FBCR/O2FBMF/SamsungFBBD/SamsungFBPN/com.facebook.katanaFBDV/SM-A127FFBSV/8.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.6.0(Linux; U; Android 6.0;CPH2171 Build/49N0VLFB)[FBAN/FB4A;FBAV/89.0.0.36.45FBBV/5100667FBDM={density=3.0,width=561,height=1442}FBLC/fr_FRFBRV/3594147FBCR/SprintFBMF/OPPOFBBD/OPPOFBPN/com.facebook.katanaFBDV/CPH2171FBSV/6.0FBOP/1FBCA/x86:armeabi-v7a]
